"current.0","current.1","current.2","current.3","current.4","current.5","current.6"
0.000000000000000000e+00,-3.631039899999999676e+01,1.847094210000000203e+02,-1.073524840000000040e+02,1.262970400000000026e+01,1.420841699999999896e+01,4.104653799999999819e+01
2.210198199999999957e+01,-3.946782499999999771e+01,2.068114029999999843e+02,-1.041950580000000031e+02,2.210198199999999957e+01,1.105099099999999979e+01,4.104653799999999819e+01
1.578712999999999944e+01,-2.841683399999999793e+01,1.941816989999999805e+02,-8.525050199999999734e+01,1.894455600000000572e+01,4.736138999999999655e+00,2.683812100000000100e+01
4.736138999999999655e+00,-2.683812099999999745e+01,2.020752640000000042e+02,-1.073524840000000040e+02,2.368069500000000005e+01,-1.420841699999999719e+01,3.631039900000000387e+01
1.894455599999999862e+01,-3.946782499999999771e+01,2.083901159999999777e+02,-1.152460490000000135e+02,2.841683400000000148e+01,2.525940800000000053e+01,4.578267699999999962e+01
6.314851999999998355e+00,-5.209752900000000153e+01,2.115475419999999929e+02,-9.314406699999999262e+01,1.578712999999999766e+01,1.420841700000000252e+01,1.894455599999999862e+01
-6.314851999999998355e+00,-5.209752900000000153e+01,1.941816989999999805e+02,-7.893564999999999543e+01,4.736139000000001431e+00,-1.736584299999999814e+01,3.946782499999999771e+01
2.052326899999999910e+01,-3.315297300000000291e+01,1.831307079999999985e+02,-1.041950580000000031e+02,1.105099100000000689e+01,-7.893565000000000609e+00,4.736139000000000010e+01
1.578712999999998701e+00,-4.104653799999999819e+01,1.957604120000000023e+02,-1.089311969999999974e+02,2.210198199999999957e+01,9.472277999999995757e+00,2.525940800000000053e+01
1.578712999999999766e+01,-3.473168599999999628e+01,2.178623939999999948e+02,-1.057737710000000106e+02,4.262525099999999867e+01,-7.893565000000002385e+00,2.210198199999999957e+01
9.472278000000001086e+00,-3.631039899999999676e+01,2.004965509999999824e+02,-1.073524839999999898e+02,2.683812099999999745e+01,-6.314852000000001908e+00,3.788911200000000434e+01
3.315297299999999581e+01,-4.736139000000000010e+01,2.210198200000000099e+02,-9.788020600000000115e+01,1.894455599999999862e+01,-3.157425999999999178e+00,2.525940800000000053e+01
2.052326900000000265e+01,-2.525940800000000408e+01,2.147049679999999796e+02,-9.788020599999998694e+01,1.736584299999999814e+01,-1.262970400000000204e+01,3.788911200000000434e+01
2.210198199999999957e+01,-4.894010300000000058e+01,2.147049679999999796e+02,-1.120886229999999983e+02,2.525940799999999697e+01,2.052326899999999910e+01,4.894010300000000768e+01
4.736139000000003207e+00,-5.683366799999999586e+01,2.068114029999999843e+02,-9.630149299999999357e+01,2.683812100000000100e+01,2.052326899999999910e+01,4.736139000000000010e+01
1.736584300000000169e+01,-2.368069500000000005e+01,1.910242729999999938e+02,-8.682921499999999071e+01,2.683812099999999745e+01,2.368069500000000005e+01,4.262525099999999867e+01
2.210198199999999957e+01,-3.631039899999999676e+01,1.989178379999999891e+02,-1.026163449999999955e+02,3.946782499999999061e+01,1.578712999999999766e+01,3.788911199999999724e+01
1.578712999999999944e+01,-3.946782499999999061e+01,2.147049679999999796e+02,-1.152460489999999851e+02,2.999554700000000551e+01,1.578713000000001365e+00,3.631039900000000387e+01
6.314851999999999244e+00,-1.578712999999999766e+01,2.194411070000000166e+02,-8.367178900000000397e+01,1.578713000000000477e+01,1.262970400000000026e+01,2.368069500000000005e+01
1.420841699999999896e+01,-4.262525099999999156e+01,2.004965510000000108e+02,-1.057737709999999964e+02,3.946782500000000482e+01,0.000000000000000000e+00,4.894010300000000058e+01
2.683812100000000100e+01,-3.788911199999999724e+01,2.241772459999999967e+02,-9.472277999999998599e+01,7.893564999999997056e+00,1.578712999999999589e+00,3.946782499999999771e+01
1.420841699999999719e+01,-4.736139000000000010e+01,2.083901159999999777e+02,-9.472278000000000020e+01,3.631039899999999676e+01,6.314852000000001908e+00,4.736139000000000010e+01
