"current.0","current.1","current.2","current.3","current.4","current.5","current.6"
7.881415000000000504e+00,2.522052799999999806e+01,3.152565999999999757e+00,1.576282999999999745e+01,-4.728848999999998526e+00,4.728848999999998526e+00,4.728848999999999414e+00
1.576282999999999879e+00,3.940707499999999897e+01,1.576282999999999923e+01,-3.152565999999999757e+00,-2.522052800000000161e+01,-1.103398100000000071e+01,6.305131999999999515e+00
-2.206796199999999786e+01,2.994937699999999836e+01,-1.576283000000000101e+00,1.891539599999999766e+01,-1.891539600000000121e+01,1.261026399999999725e+01,-1.261026399999999903e+01
1.576282999999999879e+00,2.364424499999999796e+01,-9.457697999999998828e+00,4.728848999999999414e+00,-3.152565999999999491e+01,6.305131999999999515e+00,-2.364424499999999796e+01
1.103398100000000071e+01,1.733911299999999756e+01,-6.305131999999999515e+00,1.103398099999999893e+01,-3.310194299999999856e+01,-1.576283000000000101e+00,-1.261026400000000081e+01
9.457697999999998828e+00,3.467822599999999511e+01,3.152565999999999757e+00,-9.457697999999998828e+00,-1.261026399999999903e+01,-6.305131999999998627e+00,-1.103398099999999893e+01
9.457698000000000604e+00,1.103398099999999715e+01,-2.364424500000000151e+01,-7.881414999999998727e+00,-1.418654700000000268e+01,-4.728849000000000302e+00,-1.733911299999999756e+01
1.418654699999999735e+01,-3.152565999999999757e+00,0.000000000000000000e+00,-3.152565999999999313e+00,-2.994937699999999836e+01,4.728848999999999414e+00,-6.305131999999998627e+00
-4.728848999999999414e+00,4.571220699999999226e+01,-1.103398099999999893e+01,-3.152565999999999313e+00,-2.049167899999999776e+01,6.305132000000001291e+00,6.305131999999999515e+00
6.305131999999999515e+00,1.261026399999999903e+01,4.728848999999999414e+00,1.576283000000000101e+00,-6.305132000000001291e+00,9.457697999999998828e+00,-4.728848999999999414e+00
7.881414999999998727e+00,2.522052799999999451e+01,-1.891539599999999766e+01,-7.881414999999999615e+00,-2.837309400000000181e+01,-9.457698000000000604e+00,-1.576282999999999745e+01
6.305131999999999515e+00,-1.576282999999999657e+00,1.576282999999999657e+00,2.522052800000000161e+01,-3.467822599999999511e+01,-7.881415000000000504e+00,-1.418654700000000091e+01
2.206796199999999786e+01,0.000000000000000000e+00,6.305131999999999515e+00,1.576282999999999657e+00,-2.364424499999999796e+01,-6.305131999999998627e+00,-1.576282999999999879e+00
7.881414999999998727e+00,1.261026400000000081e+01,-9.457697999999998828e+00,1.261026399999999725e+01,-2.049167899999999776e+01,2.364424500000000151e+01,-1.576283000000000101e+00
4.728848999999999414e+00,-6.305131999999999515e+00,6.305131999999999515e+00,-1.576282999999999879e+00,-2.049167899999999776e+01,3.152566000000001978e+00,-6.305131999999999515e+00
4.728848999999998526e+00,0.000000000000000000e+00,-4.728848999999999414e+00,1.576282999999999657e+00,-9.457697999999997052e+00,6.305131999999999515e+00,3.152565999999999313e+00
3.152565999999999313e+00,0.000000000000000000e+00,-6.305131999999998627e+00,0.000000000000000000e+00,-1.103398099999999893e+01,-4.728848999999999414e+00,-1.418654699999999913e+01
1.733911299999999756e+01,1.418654699999999735e+01,9.457698000000000604e+00,-1.103398099999999893e+01,-2.837309399999999826e+01,1.261026399999999903e+01,-7.881415000000000504e+00
1.103398099999999893e+01,3.152565999999999757e+00,1.418654699999999913e+01,-1.576282999999999879e+00,-4.728848999999999414e+00,1.418654699999999913e+01,1.576282999999999657e+00
1.576283000000000101e+00,1.261026399999999725e+01,0.000000000000000000e+00,7.881414999999999615e+00,-4.098335799999999551e+01,-1.103398099999999893e+01,-1.418654699999999913e+01
-1.418654700000000091e+01,4.728848999999999414e+00,-1.261026400000000081e+01,-6.305131999999998627e+00,-3.940707499999999897e+01,7.881414999999998727e+00,1.103398099999999893e+01
