Time (ms) (ms),Fink 2008,Time (ms) (ms),Lei_2019_37oC_IKr
0,-80,0,-80
250,-80,250,-80
250.1,-120,250.1,-120
300,-120,300,-120
300.1,-80,300.1,-80
570,-80.0003,570,-80.0003
570.1,-79.9981,570.1,-79.9981
570.2,-72.0522,570.2,-72.0522
570.3,-64.1699,570.3,-64.1699
570.4,-56.2679,570.4,-56.2679
570.5,-48.0263,570.5,-48.0263
570.6,-38.0701,570.6,-38.0701
570.7,-23.4846,570.7,-23.4846
570.8,-5.55652,570.8,-5.55652
570.9,8.4391,570.9,8.4391
571,18.049,571,18.049
571.1,25.3754,571.1,25.3754
571.2,24.0783,571.2,24.0783
571.3,22.8976,571.3,22.8976
571.4,21.8279,571.4,21.8279
571.5,20.8562,571.5,20.8562
571.6,19.9737,571.6,19.9737
571.7,19.1721,571.7,19.1721
571.8,18.4429,571.8,18.4429
571.9,17.7773,571.9,17.7773
572,17.1671,572,17.1671
572.1,16.6048,572.1,16.6048
572.2,16.0836,572.2,16.0836
572.3,15.5973,572.3,15.5973
572.4,15.141,572.4,15.141
572.5,14.7101,572.5,14.7101
572.6,14.3008,572.6,14.3008
572.7,13.9099,572.7,13.9099
572.8,13.5348,572.8,13.5348
572.9,13.173,572.9,13.173
573,12.8228,573,12.8228
573.1,12.4825,573.1,12.4825
573.2,12.1506,573.2,12.1506
573.3,11.8261,573.3,11.8261
573.4,11.508,573.4,11.508
573.5,11.1955,573.5,11.1955
573.6,10.8879,573.6,10.8879
573.7,10.5847,573.7,10.5847
573.8,10.2853,573.8,10.2853
573.9,9.9893,573.9,9.9893
574,9.6965,574,9.6965
574.1,9.4064,574.1,9.4064
574.2,9.119,574.2,9.119
574.3,8.8338,574.3,8.8338
574.4,8.5508,574.4,8.5508
574.5,8.2698,574.5,8.2698
574.6,7.9906,574.6,7.9906
574.7,7.7132,574.7,7.7132
574.8,7.4374,574.8,7.4374
574.9,7.1631,574.9,7.1631
575,6.8903,575,6.8903
575.1,6.6189,575.1,6.6189
575.2,6.3489,575.2,6.3489
575.3,6.0801,575.3,6.0801
575.4,5.81263,575.4,5.81263
575.5,5.54633,575.5,5.54633
575.6,5.28119,575.6,5.28119
575.7,5.0172,575.7,5.0172
575.8,4.75432,575.8,4.75432
575.9,4.49253,575.9,4.49253
576,4.2318,576,4.2318
576.1,3.97213,576.1,3.97213
576.2,3.71349,576.2,3.71349
576.3,3.45587,576.3,3.45587
576.4,3.19926,576.4,3.19926
576.5,2.94364,576.5,2.94364
576.6,2.68902,576.6,2.68902
576.7,2.43538,576.7,2.43538
576.8,2.18271,576.8,2.18271
