# staircaseramp pharma apab apabv3 ap05hz ap1hz ap2hz sactiv sinactiv
6.450675177874941324e-02 2.254698183835039949e-01 3.769527935281328235e-01 1.812360812441735081e-01 3.675582271236839116e-01 3.437699318896251799e-01 4.111746087101589286e-01 5.285516988349705375e-02 2.787850482461189383e-01
8.394466443215763130e-02 6.552218052092327605e-02 4.094709869771059885e-01 3.497215307214209257e-01 2.966862150871627524e-01 3.851590103212724769e-01 4.152881444782361986e-01 5.090084136661104236e-02 2.539916159950260099e-01
8.611220879751510515e-02 9.426937380624185181e-01 1.243870243536775000e+00 7.321448716702311232e-01 7.714773486884586307e-01 8.702889583787609684e-01 6.297660512090464957e-01 8.122875411718295802e-02 3.854695284642573050e-01
8.626024246520636041e-02 2.309633872340896565e-01 3.437465096710005663e-01 2.943126086292336407e-01 3.861314000424043158e-01 3.414465168430682041e-01 3.852647263242797160e-01 1.062871706420228796e-01 1.230157935487081328e-01
8.652338269167395013e-02 2.471921675042522137e-01 2.083853450979525623e-01 1.841977498187031548e-01 3.200958317473144854e-01 2.723228277276527054e-01 2.016185535279802765e-01 7.206308642432035505e-02 2.229735043706248809e-01
9.076267235191733118e-02 9.878883122471819600e-02 4.317522229017577984e-01 2.781918453022658722e-01 3.640862456652657619e-01 3.397751097852451663e-01 3.979865409673216670e-01 6.973390043137904504e-02 2.856753098582903161e-01
9.231203298888855657e-02 1.551244108269920208e-01 7.840539822596979125e-01 3.776481343360296727e-01 6.752852754507342459e-01 4.937228455717198039e-01 5.427209820696053955e-01 6.235592372538054096e-02 1.555251267948293270e-01
9.405327342414161740e-02 2.204254733400657640e-01 2.266482009172297030e-01 2.031083879805253567e-01 2.882068978881064392e-01 2.448748605327981109e-01 2.132190628599073545e-01 7.270139293342699205e-02 5.912872338649545478e-02
9.409028079081041551e-02 2.032431192151884225e-01 2.210878636429414179e-01 2.204054255555116526e-01 3.487120040586301761e-01 2.662775773222403330e-01 2.308227578177960149e-01 1.019778689933198562e-01 1.825177642135938083e-01
9.467444830939310274e-02 2.605900706933013122e-01 2.720618478576602439e-01 2.228293853657474233e-01 3.482638839227998329e-01 2.610954949971376338e-01 3.325582022950284156e-01 7.914798009668712331e-02 2.065999275995398787e-01
9.632530287785723289e-02 2.176745975240302333e-01 6.729613641185711037e-01 4.105181830480718608e-01 5.421568434417900484e-01 5.456611681572970385e-01 3.983398479402459058e-01 6.899183027877088537e-02 6.046434384175582849e-02
9.753520709201926597e-02 3.213387508155255978e-01 1.110351107902268541e+00 1.093699732709668027e+00 8.600052268323499227e-01 7.628396586439828431e-01 6.767666375217477048e-01 1.433169792335829695e-01 1.993956348053639860e-01
9.754147208742777742e-02 9.909622843265429581e-02 3.369232485383458209e-01 2.269385258565801422e-01 3.970959727412218809e-01 3.182153893644713571e-01 4.658749074221941178e-01 7.157204525804217177e-02 1.083388077480789552e-01
